,outcome,age_range,self_defined_ethnicity,gender,datetime,outcome_object_id,outcome_object_name,latitude,longitude,type,officer_defined_ethnicity,object_of_search
4106,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2020-07-22T09:36:34+00:00,bu-no-further-action,A no further action disposal,51.515606,-0.09409400000000001,Person search,White,Stolen goods
4107,A no further action disposal,over 34,Other ethnic group - Not stated,Male,2020-07-27T06:17:57+00:00,bu-no-further-action,A no further action disposal,51.515606,-0.09409400000000001,Person search,White,Stolen goods
4108,A no further action disposal,25-34,White - Any other White background,Male,2020-07-27T06:22:04+00:00,bu-no-further-action,A no further action disposal,51.515606,-0.09409400000000001,Person search,Other,Article for use in theft
4109,A no further action disposal,over 34,Other ethnic group - Not stated,Male,2020-07-27T06:22:47+00:00,bu-no-further-action,A no further action disposal,51.515606,-0.09409400000000001,Person search,White,Stolen goods
4110,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2020-07-08T08:02:36+00:00,bu-no-further-action,A no further action disposal,51.513905,-0.10621400000000002,Person search,Black,Article for use in theft
4111,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2020-07-17T04:55:53+00:00,bu-no-further-action,A no further action disposal,51.518262,-0.088203,Person search,Asian,Controlled drugs
4112,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2020-07-18T00:47:22+00:00,bu-no-further-action,A no further action disposal,51.511794,-0.088042,Person search,Black,Controlled drugs
4113,A no further action disposal,18-24,Other ethnic group - Not stated,Female,2020-07-27T10:02:41+00:00,bu-no-further-action,A no further action disposal,51.525045,-0.130187,Person search,White,Controlled drugs
4114,A no further action disposal,18-24,Black/African/Caribbean/Black British - Caribbean,Male,2020-07-27T11:50:11+00:00,bu-no-further-action,A no further action disposal,51.525234000000005,-0.128521,Person and Vehicle search,Black,Offensive weapons
4115,Arrest,18-24,Other ethnic group - Not stated,Male,2020-07-31T09:01:11+00:00,bu-arrest,Arrest,51.504764,-0.113192,Person and Vehicle search,White,Controlled drugs
4116,A no further action disposal,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,2020-07-01T09:01:52+00:00,bu-no-further-action,A no further action disposal,51.522017,-0.109582,Person search,White,Article for use in theft
