,outcome,age_range,self_defined_ethnicity,gender,datetime,outcome_object_id,outcome_object_name,latitude,longitude,type,officer_defined_ethnicity,object_of_search
6855,A no further action disposal,over 34,Asian/Asian British - Any other Asian background,Male,2021-05-27T01:00:39+00:00,bu-no-further-action,A no further action disposal,51.512856,-0.073254,Person search,Asian,Controlled drugs
6856,A no further action disposal,over 34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,2021-05-27T04:19:34+00:00,bu-no-further-action,A no further action disposal,51.518091,-0.078308,Person search,Other,Controlled drugs
6857,Arrest,over 34,Black/African/Caribbean/Black British - African,Male,2021-05-27T09:52:46+00:00,bu-arrest,Arrest,51.514457,-0.073849,Person search,Black,Controlled drugs
6858,A no further action disposal,18-24,White - Any other White background,Male,2021-05-27T09:53:06+00:00,bu-no-further-action,A no further action disposal,51.515196,-0.071772,Person and Vehicle search,White,Controlled drugs
6861,A no further action disposal,over 34,Asian/Asian British - Bangladeshi,Male,2021-05-28T00:25:13+00:00,bu-no-further-action,A no further action disposal,51.516814000000004,-0.08162,Person and Vehicle search,Asian,Controlled drugs
6862,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-05-28T02:25:05+00:00,bu-no-further-action,A no further action disposal,51.516733,-0.104252,Person and Vehicle search,White,Controlled drugs
6866,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-05-28T08:06:47+00:00,bu-no-further-action,A no further action disposal,51.517431,-0.082458,Person search,Black,Offensive weapons
6867,Arrest,25-34,Other ethnic group - Not stated,Male,2021-05-28T01:58:04+00:00,bu-arrest,Arrest,51.515196,-0.071772,Person search,White,Controlled drugs
6868,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-05-28T07:20:25+00:00,bu-no-further-action,A no further action disposal,51.517032,-0.089451,Person search,White,Controlled drugs
6869,A no further action disposal,18-24,Asian/Asian British - Pakistani,Male,2021-05-28T08:17:59+00:00,bu-no-further-action,A no further action disposal,51.516814000000004,-0.08162,Person search,Asian,Controlled drugs
6871,Penalty Notice for Disorder,25-34,Black/African/Caribbean/Black British - African,Male,2021-05-28T09:01:08+00:00,bu-penalty-notice,Penalty Notice for Disorder,51.516351,-0.082965,Person search,Black,Controlled drugs
6874,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-05-29T04:49:38+00:00,bu-no-further-action,A no further action disposal,51.516966,-0.1059,Person search,White,Controlled drugs
6875,A no further action disposal,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-05-29T05:03:54+00:00,bu-no-further-action,A no further action disposal,51.519783000000004,-0.086655,Person search,White,Article for use in theft
6876,A no further action disposal,over 34,Other ethnic group - Not stated,Male,2021-05-29T09:46:08+00:00,bu-no-further-action,A no further action disposal,51.515196,-0.071772,Person search,Asian,Controlled drugs
6879,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-05-30T10:10:16+00:00,bu-no-further-action,A no further action disposal,51.513377,-0.096363,Person search,White,Article for use in theft
6880,Khat or Cannabis warning,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,2021-05-31T02:18:33+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.513524,-0.09050599999999999,Person search,Black,Controlled drugs
6881,A no further action disposal,,,Male,2021-05-31T07:15:02+00:00,bu-no-further-action,A no further action disposal,51.513915000000004,-0.07318,Person search,,Controlled drugs
6882,A no further action disposal,,,Male,2021-06-20T02:35:02+00:00,bu-no-further-action,A no further action disposal,51.506161999999996,-0.088451,Person search,,Controlled drugs
6883,A no further action disposal,over 34,Other ethnic group - Not stated,Male,2021-06-01T03:03:29+00:00,bu-no-further-action,A no further action disposal,51.535996000000004,-0.078347,Person search,White,Stolen goods
6884,Arrest,18-24,Other ethnic group - Not stated,Male,2021-06-03T10:13:16+00:00,bu-arrest,Arrest,51.516233,-0.077392,Person and Vehicle search,Other,Controlled drugs
6885,Arrest,18-24,Black/African/Caribbean/Black British - African,Male,2021-06-03T10:18:12+00:00,bu-arrest,Arrest,51.512462,-0.07609500000000001,Person and Vehicle search,Black,Controlled drugs
6886,A no further action disposal,,,Male,2021-06-01T06:42:28+00:00,bu-no-further-action,A no further action disposal,51.516814000000004,-0.08162,Person search,,Article for use in theft
6887,A no further action disposal,over 34,White - Any other White background,Male,2021-06-03T01:02:10+00:00,bu-no-further-action,A no further action disposal,51.514933,-0.074896,Person search,White,Stolen goods
6888,A no further action disposal,18-24,Other ethnic group - Any other ethnic group,Male,2021-06-04T11:11:02+00:00,bu-no-further-action,A no further action disposal,51.511053000000004,-0.075722,Person and Vehicle search,Other,Firearms
6889,Arrest,25-34,Other ethnic group - Not stated,Male,2021-06-04T11:31:57+00:00,bu-arrest,Arrest,51.516233,-0.077392,Person and Vehicle search,White,Controlled drugs
6890,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-06-04T11:56:56+00:00,bu-no-further-action,A no further action disposal,51.511014,-0.076113,Person search,Black,Firearms
6891,A no further action disposal,25-34,Black/African/Caribbean/Black British - African,Male,2021-06-04T00:19:03+00:00,bu-no-further-action,A no further action disposal,51.511014,-0.076113,Person and Vehicle search,Black,Firearms
6893,A no further action disposal,10-17,Other ethnic group - Not stated,Male,2021-06-04T03:11:12+00:00,bu-no-further-action,A no further action disposal,51.516966,-0.1059,Person search,White,Article for use in theft
6894,A no further action disposal,over 34,Other ethnic group - Not stated,Male,2021-06-04T03:16:02+00:00,bu-no-further-action,A no further action disposal,51.513865,-0.092625,Person search,White,Article for use in theft
6895,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Female,2021-06-03T01:02:19+00:00,bu-no-further-action,A no further action disposal,51.511749,-0.108018,Person search,White,Controlled drugs
6896,A no further action disposal,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-03T01:49:08+00:00,bu-no-further-action,A no further action disposal,51.511749,-0.108018,Person search,White,Controlled drugs
6897,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-06-03T04:17:37+00:00,bu-no-further-action,A no further action disposal,51.511386,-0.092296,Person search,Black,Controlled drugs
6898,Khat or Cannabis warning,18-24,White - Any other White background,Male,2021-06-03T06:21:20+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.516814000000004,-0.08162,Person search,Asian,Controlled drugs
6899,Khat or Cannabis warning,18-24,White - Any other White background,Male,2021-06-03T06:21:20+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.517231,-0.079613,Person search,Asian,Controlled drugs
6901,Community resolution,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,2021-06-04T05:52:44+00:00,bu-community-resolution,Community resolution,51.518262,-0.088203,Person search,Black,Stolen goods
6902,Khat or Cannabis warning,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-06T00:57:26+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.509547,-0.076031,Person search,White,Controlled drugs
6903,A no further action disposal,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-04T05:59:51+00:00,bu-no-further-action,A no further action disposal,51.516814000000004,-0.08162,Person and Vehicle search,White,Firearms
6904,A no further action disposal,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-04T07:32:56+00:00,bu-no-further-action,A no further action disposal,51.516814000000004,-0.08162,Person search,White,Controlled drugs
6905,Arrest,18-24,Other ethnic group - Not stated,Male,2021-06-04T09:26:01+00:00,bu-arrest,Arrest,51.513377,-0.096363,Person and Vehicle search,White,Controlled drugs
6908,Khat or Cannabis warning,18-24,Black/African/Caribbean/Black British - Caribbean,Male,2021-06-05T01:19:54+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.514513,-0.09656100000000001,Person search,Black,Controlled drugs
6910,A no further action disposal,over 34,Other ethnic group - Not stated,Male,2021-06-06T06:18:58+00:00,bu-no-further-action,A no further action disposal,51.514203,-0.094628,Person search,White,Article for use in theft
6911,Khat or Cannabis warning,18-24,Asian/Asian British - Bangladeshi,Male,2021-06-05T05:35:37+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.507808000000004,-0.07912999999999999,Person search,Asian,Controlled drugs
6912,A no further action disposal,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-06T07:07:35+00:00,bu-no-further-action,A no further action disposal,51.508066,-0.08778,Person search,White,
6913,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2021-06-06T08:42:31+00:00,bu-no-further-action,A no further action disposal,51.51768,-0.078484,Person search,Asian,Controlled drugs
6914,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-06-05T07:41:59+00:00,bu-no-further-action,A no further action disposal,51.511749,-0.108018,Person and Vehicle search,Other,Controlled drugs
6915,A no further action disposal,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-05T09:06:57+00:00,bu-no-further-action,A no further action disposal,51.509414,-0.093791,Person search,White,Controlled drugs
6916,Arrest,25-34,White - Any other White background,Male,2021-06-06T06:51:33+00:00,bu-arrest,Arrest,51.516346999999996,-0.104887,Person and Vehicle search,White,Controlled drugs
6917,Khat or Cannabis warning,18-24,Other ethnic group - Not stated,Male,2021-06-06T08:42:41+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.51768,-0.078484,Person search,Black,Controlled drugs
6918,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-06-07T11:35:42+00:00,bu-no-further-action,A no further action disposal,51.513884999999995,-0.10274100000000001,Person and Vehicle search,White,Controlled drugs
6919,A no further action disposal,18-24,Black/African/Caribbean/Black British - African,Male,2021-06-07T01:40:22+00:00,bu-no-further-action,A no further action disposal,51.516078,-0.08498,Person and Vehicle search,Black,Stolen goods
6920,A no further action disposal,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,2021-06-07T01:49:23+00:00,bu-no-further-action,A no further action disposal,51.516078,-0.08498,Person and Vehicle search,Black,Stolen goods
6921,A no further action disposal,over 34,Asian/Asian British - Pakistani,Male,2021-06-07T03:01:58+00:00,bu-no-further-action,A no further action disposal,51.513627,-0.076435,Person search,Asian,Stolen goods
6922,A no further action disposal,over 34,Black/African/Caribbean/Black British - African,Male,2021-06-07T03:46:09+00:00,bu-no-further-action,A no further action disposal,51.516814000000004,-0.08162,Person search,Black,Controlled drugs
6923,Arrest,over 34,White - Any other White background,Male,2021-06-08T11:38:26+00:00,bu-arrest,Arrest,51.517244,-0.080376,Person search,White,Stolen goods
6924,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-06-08T07:03:43+00:00,bu-no-further-action,A no further action disposal,51.516078,-0.08498,Person search,Black,Evidence of offences under the Act
6925,A no further action disposal,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-08T11:18:22+00:00,bu-no-further-action,A no further action disposal,51.51121,-0.094206,Person and Vehicle search,White,Controlled drugs
6927,Arrest,over 34,Black/African/Caribbean/Black British - Caribbean,Male,2021-06-08T00:36:01+00:00,bu-arrest,Arrest,51.51891,-0.087153,Person search,Black,Evidence of offences under the Act
6928,A no further action disposal,over 34,White - Any other White background,Male,2021-06-08T02:17:21+00:00,bu-no-further-action,A no further action disposal,51.516703,-0.093558,Person search,White,Stolen goods
6930,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-06-07T11:36:33+00:00,bu-no-further-action,A no further action disposal,51.522233,-0.10738199999999999,Person and Vehicle search,White,Controlled drugs
6931,A no further action disposal,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-07T01:34:30+00:00,bu-no-further-action,A no further action disposal,51.509614,-0.079011,Person and Vehicle search,White,Controlled drugs
6932,A no further action disposal,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-07T01:39:33+00:00,bu-no-further-action,A no further action disposal,51.513884999999995,-0.10274100000000001,Person search,White,Controlled drugs
6933,A no further action disposal,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-07T01:45:10+00:00,bu-no-further-action,A no further action disposal,51.513884999999995,-0.10274100000000001,Person search,White,Controlled drugs
6936,A no further action disposal,18-24,White - Any other White background,Male,2021-06-07T05:36:05+00:00,bu-no-further-action,A no further action disposal,51.506254999999996,-0.074901,Person search,White,Controlled drugs
6938,A no further action disposal,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-08T09:17:23+00:00,bu-no-further-action,A no further action disposal,51.515522999999995,-0.077451,Person search,White,Stolen goods
6940,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-06-11T09:03:44+00:00,bu-no-further-action,A no further action disposal,51.516814000000004,-0.08162,Person and Vehicle search,Black,Controlled drugs
6941,A no further action disposal,18-24,Other ethnic group - Not stated,Female,2021-06-11T02:42:44+00:00,bu-no-further-action,A no further action disposal,51.509547,-0.076031,Person search,Asian,Controlled drugs
6942,Penalty Notice for Disorder,18-24,Asian/Asian British - Bangladeshi,Male,2021-06-11T03:30:59+00:00,bu-penalty-notice,Penalty Notice for Disorder,51.509547,-0.076031,Person search,Asian,Controlled drugs
6943,A no further action disposal,,White - Any other White background,Female,2021-06-12T00:20:13+00:00,bu-no-further-action,A no further action disposal,51.51768,-0.078484,Person search,White,Controlled drugs
6944,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2021-06-13T02:23:18+00:00,bu-no-further-action,A no further action disposal,51.518189,-0.082628,Person search,White,Controlled drugs
6945,Khat or Cannabis warning,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-13T05:03:56+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.50932,-0.084701,Person search,White,Controlled drugs
6946,A no further action disposal,,Other ethnic group - Not stated,Male,2021-06-13T05:35:26+00:00,bu-no-further-action,A no further action disposal,51.511179999999996,-0.07306499999999999,Person and Vehicle search,White,Controlled drugs
6947,Arrest,over 34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Female,2021-06-09T00:12:21+00:00,bu-arrest,Arrest,51.516351,-0.082965,Person search,White,Controlled drugs
6948,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-14T11:27:42+00:00,bu-no-further-action,A no further action disposal,51.512856,-0.073254,Person and Vehicle search,White,Controlled drugs
6949,A no further action disposal,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-14T00:17:56+00:00,bu-no-further-action,A no further action disposal,51.512856,-0.073254,Person search,White,Controlled drugs
6950,A no further action disposal,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-14T01:03:42+00:00,bu-no-further-action,A no further action disposal,51.518262,-0.088203,Person search,White,Stolen goods
6951,A no further action disposal,18-24,Asian/Asian British - Indian,Male,2021-06-17T08:16:03+00:00,bu-no-further-action,A no further action disposal,51.510651,-0.080322,Person search,Asian,Controlled drugs
6952,A no further action disposal,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-14T03:48:32+00:00,bu-no-further-action,A no further action disposal,51.514203,-0.094628,Person search,White,Stolen goods
6953,A no further action disposal,25-34,White - Any other White background,Male,2021-06-09T00:24:42+00:00,bu-no-further-action,A no further action disposal,51.516351,-0.082965,Person and Vehicle search,White,Controlled drugs
6954,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2021-06-09T01:33:16+00:00,bu-no-further-action,A no further action disposal,51.518262,-0.088203,Person search,Black,Controlled drugs
6955,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2021-06-10T11:18:29+00:00,bu-no-further-action,A no further action disposal,51.511625,-0.081549,Person search,Black,Controlled drugs
6956,Arrest,10-17,Asian/Asian British - Bangladeshi,Male,2021-06-10T01:01:06+00:00,bu-arrest,Arrest,51.515504,-0.07627,Person search,Asian,Controlled drugs
6957,Arrest,10-17,Asian/Asian British - Bangladeshi,Male,2021-06-10T01:17:21+00:00,bu-arrest,Arrest,51.515504,-0.07627,Person search,Asian,Controlled drugs
6958,A no further action disposal,18-24,Other ethnic group - Not stated,Female,2021-06-10T03:39:47+00:00,bu-no-further-action,A no further action disposal,51.520678000000004,-0.080318,Person search,Asian,Controlled drugs
6959,A no further action disposal,over 34,Black/African/Caribbean/Black British - Caribbean,Male,2021-06-10T06:11:21+00:00,bu-no-further-action,A no further action disposal,51.511922999999996,-0.086624,Person search,Black,Article for use in theft
6961,Arrest,over 34,Other ethnic group - Not stated,Male,2021-06-10T10:07:17+00:00,bu-arrest,Arrest,51.517431,-0.082458,Person search,White,Stolen goods
6963,A no further action disposal,over 34,Other ethnic group - Not stated,Male,2021-06-15T09:38:52+00:00,bu-no-further-action,A no further action disposal,51.518433,-0.078856,Person search,Black,Stolen goods
6964,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-06-16T11:05:34+00:00,bu-no-further-action,A no further action disposal,51.50993,-0.068161,Person and Vehicle search,White,Article for use in theft
6966,A no further action disposal,,,Male,2021-06-16T00:12:33+00:00,bu-no-further-action,A no further action disposal,51.512462,-0.07609500000000001,Person search,,Offensive weapons
6967,A no further action disposal,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-16T04:31:28+00:00,bu-no-further-action,A no further action disposal,51.517244,-0.080376,Person search,White,Article for use in theft
6969,Khat or Cannabis warning,25-34,Other ethnic group - Not stated,Male,2021-06-16T04:19:36+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.512598,-0.084967,Person search,Black,Controlled drugs
6970,Khat or Cannabis warning,25-34,White - Any other White background,Male,2021-06-17T11:33:21+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.509848,-0.104494,Person and Vehicle search,White,Controlled drugs
6971,Arrest,18-24,Other ethnic group - Not stated,Male,2021-06-17T00:58:18+00:00,bu-arrest,Arrest,51.509848,-0.104494,Person and Vehicle search,Asian,Controlled drugs
6972,Arrest,18-24,Asian/Asian British - Bangladeshi,Male,2021-06-17T04:22:08+00:00,bu-arrest,Arrest,51.509848,-0.104494,Person search,Asian,Controlled drugs
6973,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-06-17T11:43:13+00:00,bu-no-further-action,A no further action disposal,51.521038,-0.078718,Person search,White,Stolen goods
6974,A no further action disposal,,,Male,2021-06-17T00:28:59+00:00,bu-no-further-action,A no further action disposal,51.512598,-0.084967,Person search,,Article for use in theft
6975,A no further action disposal,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-14T09:50:57+00:00,bu-no-further-action,A no further action disposal,51.511554,-0.079448,Person search,White,Controlled drugs
6976,Khat or Cannabis warning,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,2021-06-15T06:06:38+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.514409,-0.079674,Person search,Black,Controlled drugs
6977,A no further action disposal,over 34,White - Any other White background,Male,2021-06-15T01:43:01+00:00,bu-no-further-action,A no further action disposal,51.506254999999996,-0.074901,Person search,White,Controlled drugs
6978,A no further action disposal,over 34,Other ethnic group - Not stated,Male,2021-06-15T05:26:56+00:00,bu-no-further-action,A no further action disposal,51.516047,-0.075411,Person search,Other,Controlled drugs
6979,A no further action disposal,over 34,White - Irish,Male,2021-06-15T07:12:49+00:00,bu-no-further-action,A no further action disposal,51.512856,-0.073254,Person search,White,Controlled drugs
6980,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-06-15T07:16:53+00:00,bu-no-further-action,A no further action disposal,51.516934,-0.073543,Person search,Other,Controlled drugs
6981,A no further action disposal,over 34,Other ethnic group - Not stated,Male,2021-06-15T07:25:47+00:00,bu-no-further-action,A no further action disposal,51.516934,-0.073543,Person search,Other,Controlled drugs
6982,A no further action disposal,over 34,Asian/Asian British - Any other Asian background,Male,2021-06-15T07:30:08+00:00,bu-no-further-action,A no further action disposal,51.512856,-0.073254,Person search,Asian,Controlled drugs
6984,A no further action disposal,,,Male,2021-06-17T06:33:46+00:00,bu-no-further-action,A no further action disposal,51.511053000000004,-0.075722,Person search,,Controlled drugs
6985,Khat or Cannabis warning,over 34,Black/African/Caribbean/Black British - African,Male,2021-06-18T11:35:59+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.517042,-0.10281199999999999,Person search,White,Controlled drugs
6986,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-06-17T06:42:41+00:00,bu-no-further-action,A no further action disposal,51.511053000000004,-0.075722,Person search,Asian,Controlled drugs
6987,Arrest,25-34,White - Any other White background,Male,2021-06-17T06:46:42+00:00,bu-arrest,Arrest,51.515142,-0.09764500000000001,Person search,White,Controlled drugs
6988,A no further action disposal,18-24,Other ethnic group - Not stated,Female,2021-06-17T06:50:16+00:00,bu-no-further-action,A no further action disposal,51.511053000000004,-0.075722,Person search,Asian,Controlled drugs
6989,A no further action disposal,10-17,Other ethnic group - Not stated,Male,2021-06-17T07:18:26+00:00,bu-no-further-action,A no further action disposal,51.510651,-0.080322,Person search,White,Controlled drugs
6992,A no further action disposal,over 34,Other ethnic group - Not stated,Male,2021-06-18T08:15:39+00:00,bu-no-further-action,A no further action disposal,51.512147,-0.09207699999999999,Person search,Asian,Article for use in theft
6993,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-06-18T10:05:24+00:00,bu-no-further-action,A no further action disposal,51.517058,-0.08329600000000001,Person search,Other,Controlled drugs
6994,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-06-19T02:18:59+00:00,bu-no-further-action,A no further action disposal,51.51768,-0.078484,Person search,White,Controlled drugs
6995,A no further action disposal,18-24,Other ethnic group - Not stated,Female,2021-06-19T05:23:00+00:00,bu-no-further-action,A no further action disposal,51.510795,-0.077578,Person search,White,Controlled drugs
6996,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-06-19T05:50:17+00:00,bu-no-further-action,A no further action disposal,51.51768,-0.078484,Person search,White,Controlled drugs
6997,A no further action disposal,18-24,Black/African/Caribbean/Black British - African,Male,2021-06-17T07:19:49+00:00,bu-no-further-action,A no further action disposal,51.510651,-0.080322,Person and Vehicle search,Black,Controlled drugs
6998,A no further action disposal,18-24,White - Any other White background,Male,2021-06-17T08:30:55+00:00,bu-no-further-action,A no further action disposal,51.510651,-0.080322,Person search,White,Controlled drugs
6999,A no further action disposal,25-34,White - Any other White background,Male,2021-06-17T08:41:42+00:00,bu-no-further-action,A no further action disposal,51.517032,-0.089451,Person and Vehicle search,White,Controlled drugs
7000,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-06-18T02:56:06+00:00,bu-no-further-action,A no further action disposal,51.514763,-0.075508,Person search,Other,Controlled drugs
7001,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-06-18T03:16:38+00:00,bu-no-further-action,A no further action disposal,51.514763,-0.075508,Person search,Other,Controlled drugs
7002,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-06-19T05:53:35+00:00,bu-no-further-action,A no further action disposal,51.51768,-0.078484,Person search,White,Controlled drugs
7003,A no further action disposal,over 34,White - Any other White background,Male,2021-06-19T05:09:28+00:00,bu-no-further-action,A no further action disposal,51.514203,-0.094628,Person and Vehicle search,White,Controlled drugs
7004,A no further action disposal,,,Male,2021-06-20T04:54:20+00:00,bu-no-further-action,A no further action disposal,51.506161999999996,-0.088451,Person search,,Controlled drugs
7006,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-06-20T05:16:51+00:00,bu-no-further-action,A no further action disposal,51.511053000000004,-0.075722,Person and Vehicle search,Asian,Controlled drugs
7007,A no further action disposal,25-34,White - Any other White background,Male,2021-06-20T08:47:54+00:00,bu-no-further-action,A no further action disposal,51.518262,-0.088203,Person search,White,Controlled drugs
7008,A no further action disposal,25-34,White - Any other White background,Male,2021-06-21T05:12:28+00:00,bu-no-further-action,A no further action disposal,51.511749,-0.108018,Person search,White,Offensive weapons
7009,A no further action disposal,,,Male,2021-06-21T08:12:04+00:00,bu-no-further-action,A no further action disposal,51.513647,-0.07433,Person search,,Offensive weapons
7012,Arrest,18-24,Other ethnic group - Not stated,Male,2021-06-22T04:53:36+00:00,bu-arrest,Arrest,51.510414000000004,-0.073515,Person search,White,Controlled drugs
7013,A no further action disposal,,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,2021-06-22T04:54:19+00:00,bu-no-further-action,A no further action disposal,51.512598,-0.084967,Person search,Other,
7015,A no further action disposal,25-34,Black/African/Caribbean/Black British - Caribbean,Male,2021-06-22T06:08:38+00:00,bu-no-further-action,A no further action disposal,51.50995,-0.078665,Person and Vehicle search,Black,Controlled drugs
7017,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-06-19T09:17:51+00:00,bu-no-further-action,A no further action disposal,51.513915000000004,-0.07318,Person search,Asian,Controlled drugs
7018,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-06-19T09:20:57+00:00,bu-no-further-action,A no further action disposal,51.513915000000004,-0.07318,Person search,Asian,Controlled drugs
7019,Arrest,10-17,Other ethnic group - Not stated,Male,2021-06-19T09:29:27+00:00,bu-arrest,Arrest,51.513915000000004,-0.07318,Person search,Asian,Controlled drugs
7020,A no further action disposal,18-24,Asian/Asian British - Any other Asian background,Male,2021-06-19T09:38:21+00:00,bu-no-further-action,A no further action disposal,51.513915000000004,-0.07318,Person search,Asian,Controlled drugs
7021,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2021-06-19T09:42:12+00:00,bu-no-further-action,A no further action disposal,51.513915000000004,-0.07318,Person search,Asian,Controlled drugs
7022,A no further action disposal,18-24,Asian/Asian British - Bangladeshi,Male,2021-06-20T03:18:29+00:00,bu-no-further-action,A no further action disposal,51.513061,-0.076459,Person search,Asian,Stolen goods
7024,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-22T07:07:50+00:00,bu-no-further-action,A no further action disposal,51.50995,-0.078665,Person search,White,Controlled drugs
7025,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2021-06-22T07:13:14+00:00,bu-no-further-action,A no further action disposal,51.50995,-0.078665,Person search,Black,Controlled drugs
7026,Arrest,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-22T10:02:54+00:00,bu-arrest,Arrest,51.520509999999994,-0.08158,Person search,White,Article for use in theft
7028,Arrest,over 34,Other ethnic group - Not stated,Male,2021-06-23T05:53:54+00:00,bu-arrest,Arrest,51.516814000000004,-0.08162,Person search,Asian,Controlled drugs
7029,A no further action disposal,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-24T01:31:57+00:00,bu-no-further-action,A no further action disposal,51.51972,-0.09993300000000001,Person search,White,Stolen goods
7030,A no further action disposal,10-17,Other ethnic group - Not stated,Male,2021-06-24T02:07:31+00:00,bu-no-further-action,A no further action disposal,51.514151,-0.07495800000000001,Person search,Asian,Controlled drugs
7031,Arrest,18-24,Other ethnic group - Not stated,Male,2021-06-24T03:36:57+00:00,bu-arrest,Arrest,51.511794,-0.088042,Person and Vehicle search,White,Controlled drugs
7032,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-23T09:44:10+00:00,bu-no-further-action,A no further action disposal,51.516814000000004,-0.08162,Person search,White,Controlled drugs
7033,A no further action disposal,18-24,Other ethnic group - Not stated,Female,2021-06-24T07:34:17+00:00,bu-no-further-action,A no further action disposal,51.537964,-0.056981,Person and Vehicle search,Black,Controlled drugs
7034,A no further action disposal,over 34,White - Irish,Male,2021-06-24T08:03:40+00:00,bu-no-further-action,A no further action disposal,51.517244,-0.080376,Person search,White,Stolen goods
7036,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2021-06-25T02:54:19+00:00,bu-no-further-action,A no further action disposal,51.511223,-0.089435,Person search,White,Stolen goods
